bigg_id,chebi
cm_e,94390
cmp_e,60377
crn_e,6202
crn__D_e,51453
csn_e,41732
cu2_e,49550
cys__D_e,41887
cys__L_e,6207
cytd_e,41709
dcyt_e,4407
dgmp_e,57673
dha_e,5453
dimp_e,837
din_e,4413
doxrbcn_e,64816
dtmp_e,63549
dump_e,47722
duri_e,46293
enlipa_e,60085
enter_e,77805
etoh_e,52092
fald_e,5142
fe2_e,49599
fe3_e,49595
fe3hox_e,4992
fecrm_e,5019
feoxam_e,84700
fru_e,5172
frulys_e,63523
fruur_e,59881
fuc__L_e,48204
g1p_e,58601
g3pc_e,76433
g3pe_e,57952
g3pi_e,64715
g3ps_e,64945
galt_e,53575
galur_e,75525
gam_e,58723
gbbtn_e,20484
gdp_e,65180
glc__D_e,4167
glcn_e,42715
glcr_e,42731
glcur_e,58720
glcur1p_e,681
gln__L_e,6227
glu__L_e,76051
glyald_e,4186
glyc_e,5448
glyc__R_e,41990
glyc2p_e,58083
glyclt_e,5475
gsn_e,5564
gthox_e,7840
gua_e,5563
h_e,5584
h2_e,5785
h2o_e,5594
hdca_e,7896
hg2_e,5714
his__L_e,6240
hom__L_e,6246
hxan_e,5841
idon__L_e,6250
ile__L_e,6255
imp_e,5849
indole_e,5900
isetac_e,61904
k_e,8345
lcts_e,613009
lipa_e,58540
lipa_cold_e,61556
malt_e,6668
malthx_e,6667
maltpt_e,62006
maltttr_e,6671
met__D_e,57932
met__L_e,6829
metsox_S__L_e,6272
mg2_e,6635
mincyc_e,77906
minohp_e,58130
mnl_e,6686
mso3_e,6813
n2o_e,7598
ni2_e,49786
no2_e,7585
novbcn_e,7644
o2s_e,7710
ocdcea_e,7741
peamn_e,8063
phe__L_e,8089
pppn_e,8103
pro__L_e,6286
progly_e,73594
psclys_e,61425
pser__L_e,7692
ptrc_e,8650
pydx_e,8667
pyr_e,8685
quin_e,8715
r5p_e,22413
rfamp_e,8858
rib__D_e,47013
rmn_e,6292
sbt__D_e,9201
sel_e,9088
ser__D_e,4245
ser__L_e,9116
so4_e,9335
spmd_e,9218
succ_e,9304
sucr_e,9314
tartr__D_e,45873
taur_e,9406
thr__L_e,6308
thrp_e,58675
thymd_e,9579
tma_e,9732
tmao_e,9733
tre_e,46211
tyrp_e,8171
udpacgal_e,9820
udpg_e,9895
ump_e,9849
ura_e,9882
urea_e,9888
uri_e,9893
xan_e,48517
xmp_e,57464
xylu__L_e,6326
zn2_e,49982
12ppd__S_p,45065
15dap_p,58384
1agpe140_p,85215
1agpe160_p,73134
1agpg160_p,75376
1ddecg3p_p,72682
26dap__M_p,57791
2agpe160_p,132926
3amp_p,60880
3hpp_p,40000
3hpppn_p,57277
4hoxpacd_p,20417
5mtr_p,78440
LalaDglu_p,61566
acald_p,40533
acgal_p,7201
acgam_p,7123
acgam1p_p,7125
acmum_p,7212
acnam_p,7214
acser_p,7668
agm_p,58145
akg_p,40661
ala_B_p,63070
ala__L_p,76050
all__D_p,4093
amp_p,47222
arab__L_p,6182
aso3_p,49900
asp__L_p,6193
btn_p,57586
cbi_p,48529
cd2_p,48775
cl_p,5590
clpn140_p,62862
clpn181_p,105685
cm_p,94390
cmp_p,60377
crn_p,6202
crn__D_p,51453
csn_p,41732
ctbt_p,48867
cu2_p,49550
cys__D_p,41887
cys__L_p,6207
cytd_p,41709
dcyt_p,4407
dgmp_p,57673
dha_p,5453
dimp_p,837
din_p,4413
doxrbcn_p,64816
dtmp_p,63549
dump_p,47722
duri_p,46293
enlipa_p,60085
enter_p,77805
etoh_p,52092
fald_p,5142
fe2_p,49599
fe3_p,49595
fe3hox_p,4992
fecrm_p,5019
feoxam_p,84700
fru_p,5172
frulys_p,63523
fruur_p,59881
fuc__L_p,48204
g1p_p,58601
g3pc_p,76433
g3pe_p,57952
g3pi_p,64715
g3ps_p,64945
galt_p,53575
galur_p,75525
gam_p,58723
gbbtn_p,20484
gdp_p,65180
glc__D_p,4167
glcn_p,42715
glcr_p,42731
glcur_p,58720
glcur1p_p,681
gln__L_p,6227
glu__L_p,76051
glyald_p,4186
glyc_p,5448
glyc__R_p,41990
glyc2p_p,58083
glyclt_p,5475
gsn_p,5564
gthox_p,7840
gua_p,5563
h_p,5584
h2_p,5785
h2o_p,5594
hdca_p,7896
hg2_p,5714
his__L_p,6240
hom__L_p,6246
hxan_p,5841
idon__L_p,6250
ile__L_p,6255
imp_p,5849
indole_p,5900
isetac_p,61904
k_p,8345
lcts_p,613009
lipa_p,58540
lipa_cold_p,61556
malt_p,6668
malthx_p,6667
maltpt_p,62006
maltttr_p,6671
met__D_p,57932
met__L_p,6829
metsox_S__L_p,6272
mg2_p,6635
mincyc_p,77906
minohp_p,58130
mnl_p,6686
mso3_p,6813
n2o_p,7598
ni2_p,49786
no2_p,7585
novbcn_p,7644
o2s_p,7710
ocdcea_p,7741
pa160_p,73246
pe160_p,73127
pe180_p,47766
peamn_p,8063
phe__L_p,8089
pppn_p,8103
pro__L_p,6286
progly_p,73594
psclys_p,61425
pser__L_p,7692
ptrc_p,8650
pydx_p,8667
pyr_p,8685
quin_p,8715
r5p_p,22413
rfamp_p,8858
rib__D_p,47013
rmn_p,6292
sbt__D_p,9201
sel_p,9088
ser__D_p,4245
ser__L_p,9116
so4_p,9335
spmd_p,9218
succ_p,9304
sucr_p,9314
tartr__D_p,45873
taur_p,9406
thr__L_p,6308
thrp_p,58675
thymd_p,9579
tma_p,9732
tmao_p,9733
tre_p,46211
tyrp_p,8171
udcpdp_p,9863
udpacgal_p,9820
udpg_p,9895
ump_p,9849
ura_p,9882
urea_p,9888
uri_p,9893
xan_p,48517
xmp_p,57464
xylu__L_p,6326
zn2_p,49982
2dhglcn_c,59504
2kmb_c,63388
dkmpp_c,59505
mmcoa__R_c,57326
1ag3p_SC_c,78166
1mncam_c,646
1p3h5c_m,62612
1pyr5c_m,12409
23dhmb_m,15684
23dhmp_m,49258
2ahbut_m,49256
2ahhmd_m,73083
2dda7p_m,58394
2dglc_c,90760
2mbac_c,50585
2mbac_e,50585
2mbald_c,19692
2mbald_e,19692
2mbtoh_c,48945
2mbtoh_e,48945
2mcit_m,58853
2mppal_c,48943
2mppal_e,48943
2oxoadp_m,57499
2phetoh_c,8096
2phetoh_e,8096
34hpp_m,594665
3c3hmp_e,35128
3dh5hpb_m,58373
3hanthrn_c,61150
3hdcoa_x,62616
3hddcoa_x,62558
3hhdcoa_x,62613
3mbald_m,8392
3mob_m,43714
3mop_e,401
3odcoa_x,62548
3ohdcoa_x,57349
3ohodcoa_x,71407
3ophb_5_m,84492
3otdcoa_x,62543
4aabutn_c,20303
4abut_m,59888
4abutn_m,58264
4abz_m,44778
4gudbutn_c,86564
4h2oglt_m,36148
4hbz_m,44949
4hbzcoa_m,57356
4hpro_LT_c,63137
4mzym_c,63841
5aop_e,356416
5dpmev_c,57557
5fthf_m,65340
6pgl_r,57955
ACP_m,2458
L2aadp6sa_c,6162
cysi__L_v,63163
Lfmkynr_c,6215
NPmehis_c,70959
Nfortyr_c,50603
Ssq23epx_c,372
Ssq23epx_r,372
T4hcinnm_m,58152
acACP_m,2409
ac_m,40486
accoa_x,57288
aces_c,47622
aces_e,47622
acg5sa_m,7152
acrn_m,7669
ade_m,40579
adn_m,40911
adp_x,87518
ahcys_m,8945
akg_x,40661
alltt_e,30837
alpam_m,50622
amet_e,8946
amp_x,47222
apep_c,7463
aproa_c,58374
aprop_c,27959
arab__D_c,46994
arab__D_e,46994
arg__L_m,6185
arg__L_v,6185
asn__L_m,6191
asn__L_v,6191
asp__L_x,6193
atp_g,57299
atp_m,57299
atp_n,57299
atp_v,57299
caphis_c,966
cdp_n,58069
cdpchol_c,58779
cit_m,79399
cmusa_c,995
co2_g,48829
co2_m,48829
co2_n,48829
co2_v,48829
coa_r,741566
coa_x,741566
crn_x,6202
cyst__L_x,6205
dadp_n,57667
dann_e,58500
dcdp_n,58593
ddcacoa_x,6392
dhap_m,57642
dhf_m,57451
dhlam_m,4568
dhpt_m,4581
dnad_m,58437
dnad_n,58437
dolichol_c,67131
dolmanp_r,57523
dolp_c,23875
dolp_r,23875
dpcoa_m,57328
dttp_e,58370
e4hglu_c,6331
e4hglu_x,6331
e4p_m,48153
epm_c,4808
ergtetrol_c,4824
ergtetrol_r,4824
f26bp_c,58579
fecost_c,52361
fecost_e,52361
fmettrna_m,7283
fmn_e,58210
focytc_m,5033
for_m,5145
fum_m,5190
g6p_B_c,58247
gcald_m,5474
ggdp_c,58756
glp_c,57780
glu5sa_m,6225
glu__L_x,76051
glutrna_m,6232
gly_m,57305
glyc3p_m,57597
gmp_g,58115
gthrd_m,57925
gthrd_v,57925
gtp_m,57600
h2o2_m,5586
h2o2_n,5586
h2o_r,5594
h2o_x,5594
hLkynr_c,58125
h_r,5584
h_x,5584
hco3_m,5589
hco3_n,5589
hcys__L_x,66952
hdca_x,7896
hdd2coa_x,61526
hemeA_m,61715
hemeO_m,61719
hexdp_m,58179
histrna_m,6243
hmgcoa_c,11814
hpglu_c,9489
iamoh_c,43359
iamoh_e,43359
ibutac_c,50569
ibutac_e,50569
ibutoh_c,46645
ibutoh_e,46645
icit_x,5998
id3acald_c,5902
id3acald_e,5902
iletrna_m,6256
ind3ac_m,5905
ind3acnl_c,24804
ind3eth_c,5910
ind3eth_e,5910
indpyr_c,5917
ipdp_m,6037
itacon_m,6074
lac__D_m,43701
lac__L_m,422
leu__L_m,6260
leu__L_v,6260
leutrna_m,6262
lpam_m,83094
lys__L_m,6264
lys__L_v,6264
malACP_m,6662
mal__L_m,423
malcoa_m,6661
manmi1p__D_c,60448
mev__R_c,43870
mhpglu_c,58207
minohp_c,58130
mlthf_m,1989
nac_m,7559
nad_r,7422
nad_x,7422
nadh_r,7423
nadh_x,7423
nadp_m,7424
nadph_m,7425
ncam_m,7556
nh4_m,7435
nh4_n,7435
nmn_m,7557
o2_m,7860
oaa_e,7812
oaa_x,7812
occoa_x,7724
oh1_c,5594
orn_m,7784
oxag_m,7814
pacald_m,8084
pan4p_m,7914
pap_m,58343
pendp_m,57907
pheme_m,60344
phetrna_m,6283
pi_g,7793
pi_m,7793
pi_n,7793
pi_v,7793
pmtcoa_x,7898
ppcoa_m,8479
ppi_m,8683
ppi_n,8683
ppmi12346p_c,58628
psph1p_c,64795
psph1p_r,64795
pyr_x,8685
q6h2_m,52970
ribflv_e,8843
rnam_c,7337
saccrp__L_c,7406
sbt__D_c,9201
sbt__L_c,6223
sbt__L_e,6223
sdhlam_m,8971
sph1p_c,9222
sph1p_r,9222
sql_c,9245
sql_r,9245
stcoa_x,9256
sucr_c,9314
tchola_v,9408
td2coa_x,61405
thf_m,9482
thmpp_m,9532
trdox_x,7845
trdrd_x,15033
