kegg_id,Keq,stdev,bigg_id
R00431,5.72E-03,6.70E-02,PEPCKm
R00432,7.85E-01,6.96E-01,SUCOAS1m
R00435,3.10E-63,3.23E-01,
R00437,2.32E+64,3.36E-01,
R00438,2.93E+167,2.55E-02,
R00440,9.31E+121,3.24E-02,
R00442,6.32E-121,2.44E-02,
R00443,9.33E-167,2.55E-02,
R00445,1.64E-04,9.31E-04,
R00446,4.93E-07,1.04E-01,
R00447,2.20E+18,1.84E-02,LYSOXp
R00449,1.94E+82,1.39E-02,LYSMO
R00451,1.07E+03,5.26E-02,DAPDC
R00452,1.25E-07,3.51E-02,
R00453,1.99E+00,1.00E-01,
R00454,2.04E+04,7.88E-02,
R00457,2.24E+00,1.04E-01,
R00458,8.83E+00,7.88E-02,
R00459,9.18E+13,9.70E-04,
R00460,1.00E+00,9.64E-02,LYSRC
R00461,6.40E+00,1.91E-01,LYSAM
R00462,2.71E+04,3.11E-02,LYSDC
R00463,6.75E-04,2.55E-02,
R00465,1.03E-08,4.84E-01,GLYCLTDym
R00466,3.07E+27,1.39E-02,GLXO3r
R00468,1.98E+01,3.50E-01,
R00469,2.21E+04,2.08E-02,UGLYCH
R00470,7.61E-04,2.98E-01,DDPGA
R00471,2.00E-03,1.69E-01,
R00472,1.87E-06,1.91E-01,MALSp
R00473,5.28E-03,9.64E-02,
R00474,1.24E-05,4.48E-02,
R00475,3.61E+15,3.38E-02,GLYCTO1
R00477,5.98E-04,5.26E-02,
R00478,5.69E-01,1.13E-01,
R00479,3.11E-02,3.36E-01,ICL
R00480,5.98E-04,9.64E-02,ASPK
R00481,1.28E+12,2.26E-02,ASPO6
R00482,5.65E+01,5.94E-02,
R00483,1.48E+03,5.70E-02,ASNS2
R00484,3.30E+05,1.92E-02,
R00485,7.47E+02,5.94E-02,ASNNe
R00487,1.37E+03,1.50E-01,
R00488,1.32E+02,1.44E-01,
R00489,4.78E+03,8.57E-03,ASP1DC
R00490,3.67E-03,6.96E-01,ASPT
R00491,1.39E-01,2.07E-01,ASPR
R00494,3.79E+00,2.76E-02,GTHRDH_syn
R00497,2.30E+04,2.76E-02,GTHS
R00499,1.25E+05,1.51E-02,
R00501,9.14E+02,1.33E-01,UDPGALOR
R00502,3.09E+00,2.34E-01,GALT
